Timestamp,Age ,Level of education,Time Spent,Most used platform,Main activity,Positive enhancement,Checks social media,Frequency of Procrastination,Social media Breaks,Duration of Breaks,Affects academic performance,Good balance between social media use and academic responsibilities,Experience guilt,Strategies used,Tools to manage,Suggestions to manage time
7/24/2024 21:11:11,15-18,Undergraduate,1-2 hours,YouTube,Watching videos,Agree,Sometimes,Sometimes,Sometimes,10-20 minutes,Slightly,Neutral,Often,Setting time limits,Never,Alarm
7/24/2024 21:12:53,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Often,Always,Always,20-30 minutes,Extremely,Neutral,Always,Deleting and locking apps,Often,Something that could give us an alert about the usage and not let us open the app after the specified time 
7/24/2024 21:14:00,18-22,Undergraduate,3-4 hours,Instagram,Browsing and updating posts,Agree,Sometimes,Sometimes,Rarely,10-20 minutes,Moderately,Neutral,Often,Using productivity apps,Often,Indoor and outdoor games
7/24/2024 21:14:59,18-22,Undergraduate,3-4 hours,Instagram,Social networking,Agree,Sometimes,Sometimes,Sometimes,20-30 minutes,Moderately,Neutral,Sometimes,Setting time limits,Rarely,"Social media apps should themselves set time limit for the users..so that it won't affect their academics, personal life,etc"
7/24/2024 21:15:50,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Agree,Rarely,Rarely,Sometimes,20-30 minutes,Moderately,Agree,Never,Setting time limits,Never,Timer 
7/24/2024 21:16:05,18-22,Undergraduate,More than 6 hours,Instagram,Watching videos,Strongly disagree,Always,Sometimes,Always,5-10 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Sometimes,I don't have any idea 
7/24/2024 21:16:52,18-22,Undergraduate,1-2 hours,YouTube,Watching videos,Agree,Never,Never,Often,20-30 minutes,Not at all,Strongly agree,Never,Turning off notifications,Rarely,Turn off notification
7/24/2024 21:17:57,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Often,Rarely,Often,20-30 minutes,Moderately,Agree,Sometimes,Setting time limits,Never,Frequent notification about screen timing while using the app
7/24/2024 21:19:01,18-22,High school,More than 6 hours,Instagram,Social networking,Strongly disagree,Always,Always,Always,More than 30 minutes,Extremely,Disagree,Never,Turning off notifications,Never, Daily data limit
7/24/2024 21:19:55,18-22,Undergraduate,1-2 hours,YouTube,Watching videos,Agree,Rarely,Sometimes,Often,More than 30 minutes,Significantly,Neutral,Always,Turning off notifications,Often,The social media should never open during the work hours and only emergency notification should be shown.
7/24/2024 21:20:54,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Strongly disagree,Always,Always,Sometimes,More than 30 minutes,Moderately,Disagree,Always,Deleting and locking apps,Sometimes,I prefer to lock the social media app after  spending the time limit of the day
7/24/2024 21:21:01,15-18,Undergraduate,5-6 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Sometimes,20-30 minutes,Moderately,Agree,Sometimes,Using productivity apps,Sometimes,Indoor and outdoor games
7/24/2024 21:21:01,18-22,Undergraduate,3-4 hours,YouTube,Watching videos,Agree,Sometimes,Often,Sometimes,More than 30 minutes,Significantly,Neutral,Often,Setting time limits,Rarely,Break 
7/24/2024 21:22:18,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Neutral,Often,Sometimes,Sometimes,More than 30 minutes,Significantly,Neutral,Sometimes,Turning off notifications,Often,Put in dnd mode
7/24/2024 21:23:21,15-18,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Sometimes,Rarely,Rarely,10-20 minutes,Slightly,Neutral,Rarely,Setting time limits,Never,-
7/24/2024 21:25:10,15-18,Undergraduate,3-4 hours,Instagram,Social networking,Agree,Often,Sometimes,Often,More than 30 minutes,Moderately,Agree,Sometimes,Setting time limits,Never,-
7/24/2024 21:25:39,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Sometimes,10-20 minutes,Moderately,Neutral,Sometimes,Deleting and locking apps,Always,Uninstall apps
7/24/2024 21:25:58,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Often,Less than 5 minutes,Moderately,Neutral,Often,Deleting and locking apps,Never,Reminding us about the excessive usage of social media
7/24/2024 21:26:30,18-22,Undergraduate,1-2 hours,Instagram,Social networking,Strongly agree,Sometimes,Sometimes,Often,More than 30 minutes,Slightly,Disagree,Sometimes,Turning off notifications,Never,Strongly limit the usage time. 
7/24/2024 21:28:30,18-22,Undergraduate,Less than 1 hour,YouTube,Watching videos,Agree,Sometimes,Sometimes,Sometimes,10-20 minutes,Slightly,Neutral,Rarely,Turning off notifications,Never,I prefer only Study related.
7/24/2024 21:31:55,18-22,Undergraduate,5-6 hours,YouTube,Social networking,Agree,Rarely,Rarely,Rarely,10-20 minutes,Slightly,Agree,Rarely,Turning off notifications,Never,Off the notifications 
7/24/2024 21:32:37,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Neutral,Often,Often,Often,More than 30 minutes,Significantly,Neutral,Often,Setting time limits,Never,Remainder app or something like would be more useful
7/24/2024 21:34:16,18-22,Undergraduate,1-2 hours,Instagram,Social networking,Neutral,Rarely,Rarely,Sometimes,Less than 5 minutes,Moderately,Neutral,Rarely,Setting time limits,Never,Setting time limit 
7/24/2024 21:34:26,18-22,High school,1-2 hours,Instagram,Social networking,Agree,Sometimes,Sometimes,Sometimes,More than 30 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Never,Chilling with friends
7/24/2024 21:35:45,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Often,Sometimes,Always,10-20 minutes,Moderately,Disagree,Sometimes,Turning off notifications,Sometimes,A timing tool where it reminds about studying and break limits 
7/24/2024 21:43:45,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Neutral,Sometimes,Rarely,Sometimes,20-30 minutes,Slightly,Agree,Sometimes,Turning off notifications,Never,Setting time limit 
7/24/2024 21:49:08,15-18,Undergraduate,1-2 hours,YouTube,Watching videos,Neutral,Rarely,Rarely,Always,20-30 minutes,Slightly,Neutral,Sometimes,Turning off notifications,Never,Popping irrelevant videos to your like and dislike after the time limit is done
7/24/2024 21:51:51,18-22,Undergraduate,1-2 hours,Instagram,Social networking,Strongly agree,Sometimes,Rarely,Sometimes,20-30 minutes,Significantly,Agree,Often,Setting time limits,Sometimes,"Like an alarm or lock method which would really just lock the app like how we do after putting wrong password for our phone just like that 3-4 warnings and that's it the all gets locked, I think it would he nerve wrecking for most but once it gets implemented and they get a habit it will be such a new change and productivity will be more."
7/24/2024 21:54:59,18-22,Undergraduate,5-6 hours,Instagram,Watching videos,Neutral,Often,Often,Always,More than 30 minutes,Slightly,Disagree,Often,Turning off notifications,Never,No idea
7/24/2024 22:08:06,18-22,Undergraduate,5-6 hours,Instagram,Watching videos,Neutral,Always,Always,Never,Less than 5 minutes,Extremely,Neutral,Often,Using productivity apps,Never,Productive ways
7/24/2024 22:11:11,18-22,Undergraduate,Less than 1 hour,Instagram,Social networking,Agree,Sometimes,Often,Often,10-20 minutes,Slightly,Neutral,Often,Using productivity apps,Never,"Whatever tools one shall use, it depends on the invidual to set boundaries themselves. "
7/24/2024 22:12:03,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Often,Sometimes,Sometimes,20-30 minutes,Extremely,Disagree,Always,Using productivity apps,Rarely,auto-detecting with automatic lock of the app after the period allocated
7/24/2024 22:14:42,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Often,Often,Often,10-20 minutes,Slightly,Neutral,Always,Turning off notifications,Sometimes,It would be nice if I am unable to open my phone till a particular time 
7/24/2024 22:15:25,Above 25,Undergraduate,1-2 hours,Facebook,Browsing and updating posts,Agree,Sometimes,Rarely,Often,10-20 minutes,Moderately,Agree,Sometimes,Using productivity apps,Never,Time limit
7/24/2024 22:16:18,18-22,Undergraduate,Less than 1 hour,Instagram,Professional networking,Neutral,Rarely,Sometimes,Sometimes,20-30 minutes,Moderately,Agree,Sometimes,Setting time limits,Often,I think the app should close after 30 minutes it should get started after 1 hour 
7/24/2024 22:25:07,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Disagree,Often,Often,Sometimes,10-20 minutes,Significantly,Disagree,Always,Turning off notifications,Sometimes,time limits that locks the app after certain time
7/24/2024 22:30:13,18-22,Undergraduate,3-4 hours,Instagram,Browsing and updating posts,Agree,Sometimes,Sometimes,Often,20-30 minutes,Slightly,Agree,Rarely,Turning off notifications,Rarely, 
7/24/2024 22:45:36,Under 15,High school,1-2 hours,YouTube,Browsing and updating posts,Strongly agree,Rarely,Sometimes,Never,More than 30 minutes,Extremely,Strongly disagree,Rarely,Turning off notifications,Sometimes,"Running time 
"
7/24/2024 22:46:58,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Neutral,Sometimes,Never,Rarely,More than 30 minutes,Slightly,Neutral,Rarely,Setting time limits,Never,Self control is best
7/24/2024 22:47:11,18-22,Undergraduate,1-2 hours,Instagram,Social networking,Strongly disagree,Sometimes,Always,Often,More than 30 minutes,Extremely,Strongly disagree,Often,Turning off notifications,Never,Uninstall automatically if we waste more time
7/24/2024 23:00:32,18-22,Undergraduate,3-4 hours,YouTube,Social networking,Agree,Rarely,Sometimes,Often,Less than 5 minutes,Significantly,Neutral,Often,Deleting and locking apps,Often,alarm and distract yourself from that can go to shopping
7/24/2024 23:02:03,18-22,Undergraduate,Less than 1 hour,Instagram,Watching videos,Neutral,Often,Often,Always,More than 30 minutes,Significantly,Strongly disagree,Always,Turning off notifications,Never,Make the particular social media app inaccessible according to the amount of time given as input
7/24/2024 23:07:36,18-22,Undergraduate,3-4 hours,YouTube,Social networking,Strongly agree,Rarely,Sometimes,Rarely,10-20 minutes,Not at all,Strongly agree,Sometimes,Setting time limits,Never,"Time limit options 
"
7/24/2024 23:54:00,18-22,Undergraduate,5-6 hours,YouTube,Watching videos,Neutral,Often,Often,Always,More than 30 minutes,Extremely,Strongly disagree,Always,Deleting and locking apps,Rarely,Something like timing based app locker
7/25/2024 0:08:35,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Sometimes,Rarely,Sometimes,More than 30 minutes,Moderately,Neutral,Often,Deleting and locking apps,Sometimes,.
7/25/2024 8:24:27,22-25,Doctorate,3-4 hours,YouTube,Watching videos,Agree,Sometimes,Never,Never,5-10 minutes,Not at all,Agree,Rarely,Turning off notifications,Never,"Usage limits, temporarily deleting the app and  scheduled breaks ."
7/25/2024 8:33:32,18-22,Undergraduate,3-4 hours,YouTube,Watching videos,Neutral,Often,Sometimes,Often,More than 30 minutes,Moderately,Agree,Often,Turning off notifications,Sometimes,Switch offing mobile phone😌
7/25/2024 8:38:18,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Strongly disagree,Often,Always,Often,5-10 minutes,Extremely,Strongly disagree,Often,Turning off notifications,Never,"smart phone ❌key pad phone✅
"
7/25/2024 8:39:05,18-22,Undergraduate,1-2 hours,LinkedIn,Social networking,Strongly agree,Always,Rarely,Sometimes,10-20 minutes,Extremely,Strongly agree,Sometimes,Setting time limits,Sometimes,Time limit 
7/25/2024 8:42:20,18-22,Undergraduate,1-2 hours,YouTube,Social networking,Neutral,Sometimes,Often,Never,20-30 minutes,Moderately,Agree,Sometimes,Turning off notifications,Sometimes,"App-blocking: The tool could block access to specific social media apps during certain periods.

"
7/25/2024 9:15:51,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Sometimes,Sometimes,Sometimes,10-20 minutes,Moderately,Neutral,Sometimes,Setting time limits,Never,It should turn off of it's own after reaching the time limit 
7/25/2024 9:16:10,18-22,Undergraduate,3-4 hours,YouTube,Watching videos,Neutral,Sometimes,Never,Never,Less than 5 minutes,Not at all,Neutral,Rarely,Turning off notifications,Never, Need Some apps is useful to manage our time and score more marks 
7/25/2024 9:17:20,18-22,Postgraduate,5-6 hours,Instagram,Social networking,Agree,Sometimes,Never,Often,5-10 minutes,Significantly,Agree,Rarely,Deleting and locking apps,Never,-
7/25/2024 9:23:55,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Agree,Sometimes,Rarely,Often,10-20 minutes,Not at all,Agree,Rarely,Turning off notifications,Never,A tool that can set a time limit to how much long u can use the app when entered into the app
7/25/2024 9:29:19,18-22,Undergraduate,1-2 hours,YouTube,Watching videos,Agree,Often,Sometimes,Sometimes,5-10 minutes,Significantly,Disagree,Sometimes,Setting time limits,Rarely,A strong reminder that closes the app until the specific break time is over!
7/25/2024 9:45:57,22-25,Postgraduate,3-4 hours,Instagram,Social networking,Agree,Often,Rarely,Often,More than 30 minutes,Moderately,Agree,Sometimes,Setting time limits,Never,-
7/25/2024 9:54:29,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Strongly agree,Sometimes,Sometimes,Often,20-30 minutes,Significantly,Agree,Rarely,Turning off notifications,Never,Timers 
7/25/2024 9:54:34,15-18,Undergraduate,1-2 hours,YouTube,Watching videos,Agree,Sometimes,Rarely,Sometimes,More than 30 minutes,Significantly,Agree,Sometimes,Setting time limits,Sometimes,_
7/25/2024 10:03:42,18-22,Postgraduate,1-2 hours,Instagram,Watching videos,Agree,Always,Rarely,Rarely,20-30 minutes,Moderately,Neutral,Sometimes,Deleting and locking apps,Sometimes,App lock after 30 mins of usage 
7/25/2024 10:20:42,18-22,Postgraduate,1-2 hours,Instagram,Social networking,Agree,Sometimes,Sometimes,Sometimes,Less than 5 minutes,Slightly,Agree,Rarely,Turning off notifications,Never,To provide diverting quotes or prompt that reminds our responsibilities. 
7/25/2024 10:42:04,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Sometimes,20-30 minutes,Moderately,Neutral,Often,Setting time limits,Rarely,Time break reminder.
7/25/2024 10:45:41,18-22,Undergraduate,3-4 hours,YouTube,Watching videos,Agree,Sometimes,Often,Sometimes,More than 30 minutes,Significantly,Neutral,Often,Turning off notifications,Never,"A time tracking tool where you can check how much time you spent on the social media in a day, a week or a month. 
A content filtering tool can also help in filtering out specific content or keywords can help reduce exposure to distracting or negative content."
7/25/2024 10:52:17,18-22,Postgraduate,5-6 hours,Instagram,Watching videos,Agree,Sometimes,Rarely,Always,20-30 minutes,Significantly,Neutral,Often,Setting time limits,Rarely,Provide users with detailed reports on their social media usage habits.
7/25/2024 11:34:27,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Neutral,Sometimes,Sometimes,Sometimes,10-20 minutes,Not at all,Agree,Sometimes,Setting time limits,Never,Motivating tools may be.
7/25/2024 11:41:48,18-22,Undergraduate,5-6 hours,Instagram,Browsing and updating posts,Neutral,Often,Sometimes,Sometimes,More than 30 minutes,Extremely,Neutral,Always,Using productivity apps,Never,I really don't know 
7/25/2024 11:52:21,22-25,Postgraduate,1-2 hours,Instagram,Social networking,Strongly agree,Rarely,Rarely,Rarely,More than 30 minutes,Slightly,Agree,Rarely,Turning off notifications,Never,Recharge with limited data
7/25/2024 14:08:25,22-25,Postgraduate,More than 6 hours,YouTube,Watching videos,Neutral,Often,Sometimes,Often,20-30 minutes,Moderately,Agree,Sometimes,Turning off notifications,Never,Nil
7/25/2024 14:24:39,18-22,High school,3-4 hours,Instagram,Social networking,Agree,Sometimes,Rarely,Rarely,5-10 minutes,Slightly,Neutral,Sometimes,Setting time limits,Never,"Introduce gamified breaks with short, engaging activities that promote mindfulness and relaxation, encouraging users to take regular breaks from social media."
7/25/2024 14:27:04,18-22,Undergraduate,More than 6 hours,Instagram,Watching videos,Agree,Often,Often,Often,More than 30 minutes,Significantly,Agree,Often,Using productivity apps,Never,Setting time limits
7/25/2024 17:02:37,18-22,Undergraduate,1-2 hours,Instagram,Social networking,Neutral,Often,Rarely,Sometimes,20-30 minutes,Moderately,Disagree,Rarely,Setting time limits,Often,Reduce the use age of social media 
7/25/2024 17:06:49,Above 25,Postgraduate,Less than 1 hour,Instagram,Watching videos,Neutral,Sometimes,Never,Always,More than 30 minutes,Slightly,Neutral,Always,Setting time limits,Never,—
7/25/2024 18:14:47,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Strongly agree,Sometimes,Often,Sometimes,5-10 minutes,Extremely,Strongly disagree,Always,Setting time limits,Sometimes,Setting time limits for the app
7/25/2024 18:23:48,15-18,High school,1-2 hours,Instagram,Watching videos,Neutral,Often,Rarely,Always,20-30 minutes,Significantly,Neutral,Always,Turning off notifications,Rarely,"Probably a useful application for students on managing all in one .. studies,  extracurricular,self study  ,plan etc etc"
7/25/2024 19:55:39,Under 15,High school,Less than 1 hour,YouTube,Watching videos,Neutral,Rarely,Never,Sometimes,More than 30 minutes,Slightly,Disagree,Sometimes,Turning off notifications,Never,idk
7/25/2024 20:28:32,Under 15,Postgraduate,Less than 1 hour,YouTube,Watching videos,Agree,Never,Never,Sometimes,5-10 minutes,Slightly,Strongly agree,Rarely,Setting time limits,Never,Timetable
7/25/2024 20:30:07,15-18,High school,Less than 1 hour,Instagram,Watching videos,Neutral,Sometimes,Sometimes,Sometimes,20-30 minutes,Not at all,Agree,Sometimes,Turning off notifications,Sometimes,Chat locking
7/25/2024 21:13:14,22-25,Postgraduate,3-4 hours,YouTube,Professional networking,Neutral,Sometimes,Never,Rarely,5-10 minutes,Not at all,Neutral,Sometimes,Turning off notifications,Sometimes,Alarm and time management schedule 
7/26/2024 8:03:28,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Always,5-10 minutes,Moderately,Neutral,Rarely,Turning off notifications,Never,Pappilae ku ivlo panradhe perusu..no comments
7/26/2024 16:13:29,18-22,Undergraduate,More than 6 hours,Instagram,Watching videos,Strongly agree,Always,Always,Always,More than 30 minutes,Not at all,Strongly disagree,Rarely,Turning off notifications,Sometimes,Set daily or weekly time limits for specific apps or overall social media usage.
7/26/2024 20:18:58,Above 25,Undergraduate,5-6 hours,YouTube,Watching videos,Strongly agree,Often,Never,Never,20-30 minutes,Not at all,Strongly agree,Never,Turning off notifications,Rarely,Usage time alert
7/26/2024 21:53:50,Above 25,Undergraduate,1-2 hours,YouTube,Watching videos,Agree,Rarely,Sometimes,Rarely,5-10 minutes,Not at all,Agree,Never,Setting time limits,Never,Time. Management 
7/26/2024 22:05:11,15-18,Undergraduate,More than 6 hours,Instagram,Watching videos,Agree,Sometimes,Rarely,Often,More than 30 minutes,Significantly,Agree,Often,Turning off notifications,Never,Parenting
7/27/2024 11:28:33,Under 15,High school,3-4 hours,YouTube,Watching videos,Agree,Never,Sometimes,Often,10-20 minutes,Moderately,Agree,Often,Setting time limits,Never,If we use 1 Or 2 hours on social media it should show some alarm. 
7/27/2024 12:02:51,18-22,Undergraduate,1-2 hours,YouTube,Watching videos,Strongly agree,Rarely,Rarely,Sometimes,5-10 minutes,Not at all,Agree,Sometimes,Turning off notifications,Sometimes,.
7/27/2024 12:07:32,18-22,Undergraduate,1-2 hours,YouTube,Professional networking,Strongly agree,Rarely,Never,Sometimes,Less than 5 minutes,Moderately,Strongly agree,Sometimes,Using productivity apps,Never,Scheduled time for everything
7/27/2024 12:08:06,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Sometimes,Often,Always,More than 30 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Never,Automated closing of apps 
7/27/2024 12:09:24,18-22,Undergraduate,3-4 hours,Twitter,Browsing and updating posts,Disagree,Often,Sometimes,Always,20-30 minutes,Significantly,Disagree,Sometimes,Setting time limits,Sometimes,Idk
7/27/2024 12:11:55,Above 25,Undergraduate,5-6 hours,Instagram,Watching videos,Disagree,Never,Rarely,Never,20-30 minutes,Not at all,Agree,Sometimes,Turning off notifications,Rarely,I don't know 
7/27/2024 12:13:55,18-22,Undergraduate,3-4 hours,YouTube,Watching videos,Neutral,Often,Often,Sometimes,20-30 minutes,Significantly,Neutral,Always,Setting time limits,Rarely,Automatic locking of the social accounts when they are used more than the essential time periods
7/27/2024 12:14:07,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Always,Sometimes,Rarely,5-10 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Rarely,Set a limit 
7/27/2024 12:19:25,18-22,Undergraduate,3-4 hours,Instagram,Social networking,Neutral,Often,Often,Sometimes,More than 30 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Rarely,Student needs clear roatmap
7/27/2024 12:22:00,18-22,High school,3-4 hours,Instagram,Watching videos,Disagree,Often,Often,Always,10-20 minutes,Significantly,Neutral,Always,Setting time limits,Always,Complete lock up of social media app after a certain time limit
